id,odor,gill-attachment,gill-size,stalk-surface-above-ring,population
3298,n,f,b,s,v
3299,f,f,b,k,v
3300,n,f,b,s,v
3301,f,f,b,k,y
3302,n,f,b,s,y
3303,n,f,b,s,y
3304,n,f,b,s,v
3305,f,f,b,k,v
3306,n,f,b,s,v
3307,c,f,n,s,s
3308,n,f,b,s,y
3309,n,f,b,s,y
3310,n,f,b,s,y
3311,n,f,b,s,v
3312,n,f,b,s,y
3313,n,f,b,s,v
3314,f,f,b,k,y
3315,n,f,b,s,y
3316,n,f,b,s,v
3317,n,f,b,s,y
3318,n,f,b,s,v
3319,n,f,b,s,y
3320,n,f,b,s,y
3321,n,f,b,s,v
3322,n,f,b,s,v
3323,c,f,n,s,s
3324,f,f,b,k,v
3325,n,f,b,s,v
3326,n,f,b,s,v
3327,c,f,n,s,s
3328,c,f,n,s,v
3329,f,f,b,k,y
3330,n,f,b,s,v
3331,n,f,b,s,v
3332,c,f,n,s,s
3333,n,f,b,s,y
3334,n,f,b,s,y
3335,f,f,b,k,v
3336,n,f,b,s,v
3337,n,f,b,s,y
3338,c,f,n,s,v
3339,n,f,b,s,y
3340,f,f,b,k,v
3341,n,f,b,s,y
3342,f,f,b,k,y
3343,n,f,b,s,v
3344,n,f,b,s,y
3345,n,f,b,s,v
3346,n,f,b,s,v
3347,c,f,n,s,v
3348,n,f,b,s,y
3349,n,f,b,s,v
3350,f,f,b,k,y
3351,n,f,b,s,v
3352,c,f,n,s,s
3353,f,f,b,k,v
3354,n,f,b,s,v
3355,n,f,b,s,v
3356,n,f,b,s,v
3357,n,f,b,s,y
3358,c,f,n,s,v
3359,f,f,b,k,v
3360,c,f,n,s,v
3361,n,f,b,s,v
3362,n,f,b,s,v
3363,f,f,b,k,y
3364,f,f,b,k,y
3365,n,f,b,s,y
3366,c,f,n,s,s
3367,c,f,n,s,s
3368,n,f,b,s,v
3369,n,f,b,s,y
3370,n,f,b,s,y
3371,n,f,b,s,v
3372,c,f,n,s,v
3373,f,f,b,k,y
3374,n,f,b,s,v
3375,n,f,b,s,v
3376,n,f,b,s,v
3377,n,f,b,s,y
3378,n,f,b,s,y
3379,n,f,b,s,v
3380,f,f,b,k,v
3381,n,f,b,s,y
3382,c,f,n,s,s
3383,n,f,b,s,y
3384,n,f,b,s,y
3385,n,f,b,s,v
3386,n,f,b,s,v
3387,n,f,b,s,v
3388,n,f,b,s,v
3389,c,f,n,s,v
3390,f,f,b,k,y
3391,c,f,n,s,v
3392,n,f,b,s,y
3393,n,f,b,s,v
3394,c,f,n,s,s
3395,n,f,b,s,y
3396,c,f,n,s,v
3397,n,f,b,s,y
3398,c,f,n,s,s
3399,n,f,b,s,v
3400,f,f,b,k,y
3401,c,f,n,s,s
3402,n,f,b,s,y
3403,f,f,b,k,y
3404,c,f,n,s,v
3405,n,f,b,s,y
3406,c,f,n,s,s
3407,n,f,b,s,v
3408,n,f,b,s,y
3409,n,f,b,s,y
3410,n,f,b,s,v
3411,n,f,b,s,y
3412,c,f,n,s,s
3413,n,f,b,s,v
3414,n,f,b,s,v
3415,n,f,b,s,y
3416,n,f,b,s,y
3417,n,f,b,s,v
3418,f,f,b,k,y
3419,c,f,n,s,s
3420,n,f,b,s,y
3421,n,f,b,s,y
3422,c,f,n,s,v
3423,n,f,b,s,y
3424,n,f,b,s,y
3425,n,f,b,s,v
3426,f,f,b,k,v
3427,c,f,n,s,v
3428,n,f,b,s,y
3429,n,f,b,s,y
3430,n,f,b,s,y
3431,n,f,b,s,v
3432,n,f,b,s,v
3433,f,f,b,k,v
3434,n,f,b,s,y
3435,n,f,b,s,v
3436,c,f,n,s,v
3437,n,f,b,s,v
3438,f,f,b,k,y
3439,n,f,b,s,y
3440,f,f,b,k,v
3441,n,f,b,s,v
3442,c,f,n,s,s
3443,n,f,b,s,v
3444,c,f,n,s,v
3445,c,f,n,s,s
3446,n,f,b,s,v
3447,c,f,n,s,v
3448,f,f,b,k,y
3449,n,f,b,s,v
3450,n,f,b,s,y
3451,n,f,b,s,y
3452,f,f,b,k,y
3453,c,f,n,s,v
3454,f,f,b,k,v
3455,c,f,n,s,s
3456,n,f,b,s,y
3457,n,f,b,s,y
3458,c,f,n,s,s
3459,n,f,b,s,y
3460,n,f,b,s,v
3461,n,f,b,s,y
3462,n,f,b,s,y
3463,n,f,b,s,y
3464,c,f,n,s,s
3465,n,f,b,s,y
3466,f,f,b,k,y
3467,n,f,b,s,v
3468,n,f,b,s,v
3469,c,f,n,s,v
3470,c,f,n,s,v
3471,n,f,b,s,y
3472,n,f,b,s,v
3473,n,f,b,s,y
3474,f,f,b,k,v
3475,n,f,b,s,v
3476,n,f,b,s,y
3477,n,f,b,s,y
3478,c,f,n,s,s
3479,n,f,b,s,v
3480,f,f,b,k,v
3481,n,f,b,s,v
3482,n,f,b,s,v
3483,n,f,b,s,y
3484,c,f,n,s,v
3485,c,f,n,s,s
3486,n,f,b,s,v
3487,n,f,b,s,v
3488,n,f,b,s,y
3489,f,f,b,k,v
3490,n,f,b,s,y
3491,f,f,b,k,y
3492,n,f,b,s,y
3493,f,f,b,k,v
3494,n,f,b,s,v
3495,n,f,b,s,y
3496,n,f,b,s,v
3497,f,f,b,k,y
3498,n,f,b,s,y
3499,n,f,b,s,v
3500,n,f,b,s,v
3501,c,f,n,s,s
3502,n,f,b,s,y
3503,n,f,b,s,y
3504,n,f,b,s,y
3505,n,f,b,s,v
3506,n,f,b,s,v
3507,f,f,b,k,v
3508,n,f,b,s,v
3509,f,f,b,k,y
3510,n,f,b,s,v
3511,n,f,b,s,y
3512,f,f,b,k,v
3513,n,f,b,s,y
3514,f,f,b,k,v
3515,n,f,b,s,y
3516,c,f,n,s,v
3517,n,f,b,s,v
3518,n,f,b,s,y
3519,n,f,b,s,v
3520,n,f,b,s,v
3521,n,f,b,s,v
3522,c,f,n,s,s
3523,f,f,b,k,v
3524,n,f,b,s,v
3525,n,f,b,s,y
3526,c,f,n,s,v
3527,n,f,b,s,y
3528,n,f,b,s,v
3529,n,f,b,s,y
3530,n,f,b,s,y
3531,n,f,b,s,y
3532,c,f,n,s,v
3533,n,f,b,s,y
3534,f,f,b,k,v
3535,n,f,b,s,v
3536,n,f,b,s,v
3537,c,f,n,s,s
3538,n,f,b,s,y
3539,n,f,b,s,v
3540,f,f,b,k,y
3541,n,f,b,s,y
3542,n,f,b,s,v
3543,n,f,b,s,v
3544,c,f,n,s,s
3545,f,f,b,k,v
3546,n,f,b,s,v
3547,n,f,b,s,v
3548,c,f,n,s,v
3549,n,f,b,s,y
3550,n,f,b,s,y
3551,n,f,b,s,v
3552,n,f,b,s,v
3553,n,f,b,s,y
3554,n,f,b,s,y
3555,c,f,n,s,v
3556,n,f,b,s,v
3557,f,f,b,k,y
3558,c,f,n,s,v
3559,n,f,b,s,v
3560,f,f,b,k,v
3561,c,f,n,s,s
3562,n,f,b,s,y
3563,n,f,b,s,v
3564,n,f,b,s,v
3565,n,f,b,s,y
3566,f,f,b,k,v
3567,n,f,b,s,y
3568,f,f,b,k,v
3569,n,f,b,s,v
3570,n,f,b,s,y
3571,f,f,b,k,y
3572,n,f,b,s,v
3573,f,f,b,k,y
3574,n,f,b,s,v
3575,n,f,b,s,v
3576,n,f,b,s,v
3577,n,f,b,s,v
3578,n,f,b,s,y
3579,n,f,b,s,v
3580,n,f,b,s,v
3581,n,f,b,s,v
3582,f,f,b,k,v
3583,n,f,b,s,y
3584,c,f,n,s,v
3585,n,f,b,s,v
3586,n,f,b,s,v
3587,n,f,b,s,y
3588,n,f,b,s,y
3589,n,f,b,s,v
3590,n,f,b,s,v
3591,c,f,n,s,s
3592,n,f,b,s,y
3593,n,f,b,s,v
3594,n,f,b,s,y
3595,f,f,b,k,y
3596,n,f,b,s,v
3597,n,f,b,s,y
3598,f,f,b,k,y
3599,n,f,b,s,y
3600,f,f,b,k,v
3601,n,f,b,s,y
3602,n,f,b,s,y
3603,n,f,b,s,y
3604,n,f,b,s,v
3605,f,f,b,k,v
3606,c,f,n,s,v
3607,f,f,b,k,v
3608,f,f,b,k,v
3609,f,f,b,k,y
3610,n,f,b,s,v
3611,f,f,b,k,v
3612,n,f,b,s,v
3613,n,f,b,s,v
3614,n,f,b,s,y
3615,f,f,b,k,y
3616,n,f,b,s,y
3617,c,f,n,s,s
3618,n,f,b,s,y
3619,n,f,b,s,y
3620,n,f,b,s,v
3621,n,f,b,s,y
3622,f,f,b,k,y
3623,f,f,b,k,v
3624,n,f,b,s,v
3625,n,f,b,s,v
3626,f,f,b,k,v
3627,n,f,b,s,y
3628,c,f,n,s,s
3629,n,f,b,s,v
3630,n,f,b,s,y
3631,f,f,b,k,y
3632,n,f,b,s,y
3633,c,f,n,s,s
3634,f,f,b,k,v
3635,n,f,b,s,v
3636,f,f,b,k,v
3637,n,f,b,s,v
3638,n,f,b,s,y
3639,n,f,b,s,y
3640,n,f,b,s,y
3641,n,f,b,s,y
3642,n,f,b,s,y
3643,n,f,b,s,y
3644,n,f,b,s,y
3645,f,f,b,k,y
3646,n,f,b,s,y
3647,n,f,b,s,v
3648,f,f,b,k,y
3649,f,f,b,k,v
3650,f,f,b,k,y
3651,n,f,b,s,y
3652,n,f,b,s,v
3653,f,f,b,k,y
3654,f,f,b,k,v
3655,f,f,b,k,v
3656,n,f,b,s,v
3657,c,f,n,s,s
3658,n,f,b,s,v
3659,f,f,b,k,y
3660,n,f,b,s,v
3661,n,f,b,s,y
3662,f,f,b,k,y
3663,n,f,b,s,y
3664,c,f,n,s,v
3665,n,f,b,s,v
3666,n,f,b,s,v
3667,n,f,b,s,y
3668,f,f,b,k,v
3669,n,f,b,s,v
3670,n,f,b,s,y
3671,c,f,n,s,s
3672,n,f,b,s,v
3673,n,f,b,s,y
3674,n,f,b,s,y
3675,n,f,b,s,v
3676,f,f,b,k,v
3677,n,f,b,s,y
3678,n,f,b,s,v
3679,n,f,b,s,y
3680,c,f,n,s,s
3681,n,f,b,s,y
3682,n,f,b,s,v
3683,n,f,b,s,y
3684,c,f,n,s,s
3685,f,f,b,k,v
3686,n,f,b,s,v
3687,f,f,b,k,v
3688,c,f,n,s,s
3689,n,f,b,s,y
3690,n,f,b,s,v
3691,n,f,b,s,v
3692,n,f,b,s,v
3693,c,f,n,s,v
3694,n,f,b,s,v
3695,f,f,b,k,v
3696,n,f,b,s,y
3697,n,f,b,s,v
3698,c,f,n,s,v
3699,n,f,b,s,y
3700,c,f,n,s,v
3701,n,f,b,s,y
3702,f,f,b,k,y
3703,n,f,b,s,y
3704,c,f,n,s,s
3705,f,f,b,k,v
3706,n,f,b,s,y
3707,n,f,b,s,y
3708,c,f,n,s,s
3709,f,f,b,k,v
3710,n,f,b,s,y
3711,f,f,b,k,v
3712,n,f,b,s,v
3713,n,f,b,s,v
3714,f,f,b,k,y
3715,n,f,b,s,y
3716,n,f,b,s,v
3717,n,f,b,s,y
3718,n,f,b,s,v
3719,f,f,b,k,v
3720,n,f,b,s,v
3721,n,f,b,s,y
3722,n,f,b,s,v
3723,n,f,b,s,y
3724,n,f,b,s,v
3725,f,f,b,k,v
3726,c,f,n,s,v
3727,f,f,b,k,v
3728,n,f,b,s,v
3729,n,f,b,s,y
3730,n,f,b,s,y
3731,n,f,b,s,y
3732,n,f,b,s,v
3733,n,f,b,s,y
3734,n,f,b,s,v
3735,f,f,b,k,y
3736,n,f,b,s,y
3737,n,f,b,s,y
3738,f,f,b,k,v
3739,c,f,n,s,s
3740,c,f,n,s,v
3741,n,f,b,s,y
3742,f,f,b,k,v
3743,c,f,n,s,v
3744,n,f,b,s,v
3745,n,f,b,s,y
3746,n,f,b,s,v
3747,f,f,b,k,v
3748,n,f,b,s,v
3749,n,f,b,s,v
3750,n,f,b,s,v
3751,f,f,b,k,v
3752,c,f,n,s,v
3753,n,f,b,s,v
3754,c,f,n,s,s
3755,c,f,n,s,v
3756,f,f,b,k,y
3757,n,f,b,s,v
3758,n,f,b,s,v
3759,f,f,b,k,y
3760,n,f,b,s,y
3761,n,f,b,s,v
3762,n,f,b,s,v
3763,n,f,b,s,y
3764,n,f,b,s,v
3765,n,f,b,s,y
3766,n,f,b,s,v
3767,n,f,b,s,v
3768,n,f,b,s,y
3769,n,f,b,s,y
3770,n,f,b,s,y
3771,n,f,b,s,y
3772,n,f,b,s,y
3773,n,f,b,s,v
3774,n,f,b,s,y
3775,n,f,b,s,y
3776,f,f,b,k,y
3777,n,f,b,s,y
3778,n,f,b,s,y
3779,n,f,b,s,v
3780,n,f,b,s,y
3781,n,f,b,s,y
3782,f,f,b,k,v
3783,n,f,b,s,v
3784,f,f,b,k,v
3785,n,f,b,s,y
3786,n,f,b,s,v
3787,n,f,b,s,y
3788,f,f,b,k,v
3789,n,f,b,s,v
3790,n,f,b,s,y
3791,f,f,b,k,v
3792,n,f,b,s,v
3793,c,f,n,s,s
3794,n,f,b,s,y
3795,c,f,n,s,s
3796,n,f,b,s,v
3797,c,f,n,s,v
3798,n,f,b,s,y
3799,n,f,b,s,v
3800,n,f,b,s,y
3801,n,f,b,s,y
3802,c,f,n,s,s
3803,n,f,b,s,y
3804,n,f,b,s,v
3805,c,f,n,s,v
3806,n,f,b,s,y
3807,c,f,n,s,v
3808,n,f,b,s,y
3809,f,f,b,k,y
3810,n,f,b,s,y
3811,f,f,b,k,y
3812,n,f,b,s,v
3813,n,f,b,s,v
3814,n,f,b,s,v
3815,c,f,n,s,s
3816,f,f,b,k,y
3817,n,f,b,s,v
3818,n,f,b,s,v
3819,n,f,b,s,v
3820,n,f,b,s,y
3821,n,f,b,s,v
3822,n,f,b,s,y
3823,f,f,b,k,y
3824,n,f,b,s,y
3825,n,f,b,s,y
3826,n,f,b,s,y
3827,c,f,n,s,v
3828,n,f,b,s,y
3829,n,f,b,s,y
3830,f,f,b,k,y
3831,n,f,b,s,y
3832,c,f,n,s,v
3833,n,f,b,s,v
3834,c,f,n,s,s
3835,f,f,b,k,v
3836,f,f,b,k,y
3837,n,f,b,s,v
3838,n,f,b,s,v
3839,n,f,b,s,y
3840,n,f,b,s,y
3841,f,f,b,k,v
3842,n,f,b,s,y
3843,n,f,b,s,y
3844,f,f,b,k,v
3845,n,f,b,s,y
3846,c,f,n,s,s
3847,n,f,b,s,y
3848,n,f,b,s,y
3849,n,f,b,s,y
3850,n,f,b,s,y
3851,n,f,b,s,y
3852,n,f,b,s,y
3853,c,f,n,s,s
3854,n,f,b,s,v
3855,f,f,b,k,y
3856,n,f,b,s,v
3857,n,f,b,s,v
3858,n,f,b,s,v
3859,c,f,n,s,v
3860,c,f,n,s,v
3861,n,f,b,s,v
3862,n,f,b,s,v
3863,n,f,b,s,v
3864,n,f,b,s,y
3865,f,f,b,k,v
3866,c,f,n,s,v
3867,n,f,b,s,y
3868,n,f,b,s,v
3869,c,f,n,s,v
3870,c,f,n,s,s
3871,n,f,b,s,v
3872,f,f,b,k,v
3873,c,f,n,s,v
3874,f,f,b,k,v
3875,c,f,n,s,v
3876,n,f,b,s,v
3877,c,f,n,s,s
3878,n,f,b,s,v
3879,c,f,n,s,v
3880,c,f,n,s,s
3881,n,f,b,s,y
3882,c,f,n,s,s
3883,c,f,n,s,v
3884,n,f,b,s,y
3885,n,f,b,s,y
3886,c,f,n,s,s
3887,n,f,b,s,v
3888,c,f,n,s,s
3889,n,f,b,s,v
3890,f,f,b,k,v
3891,f,f,b,k,y
3892,n,f,b,s,v
3893,f,f,b,k,v
3894,n,f,b,s,v
3895,f,f,b,k,y
3896,f,f,b,k,y
3897,n,f,b,s,v
3898,n,f,b,s,v
3899,c,f,n,s,v
3900,n,f,b,s,y
3901,f,f,b,k,y
3902,f,f,b,k,v
3903,f,f,b,k,y
3904,f,f,b,k,v
3905,c,f,n,s,v
3906,f,f,b,k,y
3907,f,f,b,k,v
3908,f,f,b,k,v
3909,f,f,b,k,v
3910,f,f,b,k,y
3911,n,f,b,s,y
3912,f,f,b,k,y
3913,f,f,b,k,y
3914,f,f,b,k,y
3915,n,f,b,s,y
3916,n,f,b,s,v
3917,n,f,b,s,v
3918,f,f,b,k,v
3919,f,f,b,k,v
3920,f,f,b,k,v
3921,n,f,b,s,y
3922,f,f,b,k,v
3923,n,f,b,s,v
3924,n,f,b,s,v
3925,n,f,b,s,v
3926,f,f,b,k,y
3927,f,f,b,k,y
3928,f,f,b,k,y
3929,n,f,b,s,v
3930,f,f,b,k,y
3931,f,f,b,k,y
3932,f,f,b,k,v
3933,f,f,b,k,v
3934,f,f,b,k,y
3935,f,f,b,k,v
3936,c,f,n,s,s
3937,f,f,b,k,v
3938,n,f,b,s,v
3939,n,f,b,s,y
3940,c,f,n,s,v
3941,f,f,b,k,v
3942,f,f,b,k,v
3943,n,f,b,s,y
3944,n,f,b,s,y
3945,f,f,b,k,v
3946,n,f,b,s,v
3947,f,f,b,k,v
3948,f,f,b,k,y
3949,n,f,b,s,v
3950,f,f,b,k,v
3951,f,f,b,k,y
3952,f,f,b,k,v
3953,f,f,b,k,y
3954,c,f,n,s,s
3955,c,f,n,s,s
3956,f,f,b,k,v
3957,f,f,b,k,y
3958,f,f,b,k,v
3959,n,f,b,s,v
3960,f,f,b,f,v
3961,f,f,b,k,y
3962,n,f,b,s,v
3963,f,f,b,k,y
3964,f,f,b,k,y
3965,f,f,b,k,v
3966,f,f,b,k,y
3967,f,f,b,k,y
3968,f,f,b,k,y
3969,f,f,b,k,y
3970,c,f,n,s,v
3971,f,f,b,k,v
3972,f,f,b,k,y
3973,n,f,b,s,v
3974,n,f,b,s,v
3975,f,f,b,k,y
3976,c,f,n,s,s
3977,f,f,b,k,v
3978,f,f,b,k,v
3979,c,f,n,s,v
3980,n,f,b,s,v
3981,f,f,b,k,v
3982,c,f,n,s,v
3983,f,f,b,f,v
3984,f,f,b,k,v
3985,n,f,b,s,c
3986,f,f,b,k,y
3987,f,f,b,k,y
3988,f,f,b,k,y
3989,f,f,b,k,y
3990,n,f,b,s,y
3991,f,f,b,k,v
3992,f,f,b,k,v
3993,f,f,b,k,y
3994,c,f,n,s,s
3995,c,f,n,s,v
3996,f,f,b,k,v
3997,f,f,b,s,s
3998,f,f,b,k,v
3999,n,f,b,s,y
4000,f,f,b,k,v
4001,n,f,b,s,v
4002,f,f,b,k,y
4003,n,f,b,s,v
4004,n,f,b,s,y
4005,f,f,b,k,y
4006,f,f,b,k,y
4007,n,f,b,s,v
4008,f,f,b,k,v
4009,n,f,b,s,y
4010,n,f,b,s,y
4011,n,f,b,s,v
4012,f,f,b,k,y
4013,n,f,b,s,v
4014,f,f,b,k,v
4015,f,f,b,k,v
4016,f,f,b,k,v
4017,f,f,b,k,v
4018,f,f,b,k,v
4019,n,f,b,s,v
4020,n,f,b,s,v
4021,f,f,b,k,v
4022,f,f,b,k,y
4023,f,f,b,k,y
4024,y,f,n,k,v
4025,f,f,b,k,y
4026,f,f,b,k,v
4027,c,f,n,s,v
4028,f,f,b,k,v
4029,f,f,b,s,s
4030,f,f,b,k,v
4031,f,f,b,k,y
4032,c,f,n,s,s
4033,f,f,b,k,v
4034,n,f,b,s,v
4035,f,f,b,k,y
4036,f,f,b,k,v
4037,f,f,b,k,v
4038,f,f,b,k,v
4039,f,f,b,k,y
4040,n,f,b,s,v
4041,f,f,b,k,y
4042,n,f,b,s,y
4043,f,f,b,k,v
4044,f,f,b,k,y
4045,f,f,b,k,v
4046,c,f,n,s,v
4047,f,f,b,k,y
4048,n,f,b,s,v
4049,c,f,n,s,s
4050,f,f,b,k,v
4051,f,f,b,k,y
4052,c,f,n,s,v
4053,f,f,b,k,y
4054,f,f,b,k,v
4055,n,f,b,s,v
4056,f,f,b,k,v
4057,f,f,b,k,v
4058,c,f,n,s,s
4059,c,f,n,s,v
4060,n,f,b,s,v
4061,f,f,b,k,v
4062,n,f,b,s,y
4063,n,f,b,s,y
4064,f,f,b,k,y
4065,f,f,b,k,y
4066,f,f,b,k,v
4067,f,f,b,k,y
4068,f,f,b,k,y
4069,n,f,b,s,y
4070,f,f,b,k,v
4071,f,f,b,k,v
4072,f,f,b,k,v
4073,f,f,b,k,y
4074,n,f,b,s,v
4075,n,f,b,s,v
4076,f,f,b,k,y
4077,n,f,n,s,y
4078,n,f,b,s,y
4079,f,f,b,k,v
4080,f,f,b,k,v
4081,f,f,b,k,y
4082,f,f,b,k,y
4083,f,f,b,k,v
4084,f,f,b,k,y
4085,f,f,b,k,v
4086,f,f,b,k,v
4087,f,f,b,k,y
4088,n,f,b,s,v
4089,f,f,b,k,y
4090,n,f,b,s,v
4091,f,f,b,k,v
4092,f,f,b,k,v
4093,n,f,b,s,y
4094,n,f,b,s,y
4095,f,f,b,k,v
4096,n,f,b,s,v
4097,n,f,b,s,y
4098,f,f,b,k,v
4099,c,f,n,s,v
4100,f,f,b,k,y
4101,y,f,n,k,v
4102,f,f,b,k,v
4103,f,f,b,k,y
4104,n,f,b,s,y
4105,f,f,n,s,v
4106,n,f,b,s,v
4107,n,f,b,s,v
4108,n,f,b,s,y
4109,f,f,b,k,v
4110,n,f,b,s,y
4111,f,f,b,k,y
4112,f,f,b,k,y
4113,f,f,b,k,v
4114,n,f,b,s,v
4115,f,f,b,k,y
4116,f,f,b,k,v
4117,f,f,b,k,v
4118,f,f,b,k,y
4119,f,f,b,k,v
4120,f,f,b,k,v
4121,f,f,b,k,v
4122,n,f,b,s,v
4123,f,f,b,k,v
4124,f,f,b,k,v
4125,n,f,b,s,v
4126,f,f,b,k,v
4127,f,f,b,k,v
4128,n,f,b,s,y
4129,f,f,b,k,y
4130,n,f,b,s,y
4131,f,f,b,k,v
4132,f,f,b,k,v
4133,f,f,b,k,v
4134,c,f,n,s,s
4135,n,f,b,s,v
4136,f,f,b,k,y
4137,f,f,b,k,y
4138,f,f,b,k,v
4139,n,f,b,s,v
4140,f,f,b,k,y
4141,f,f,b,k,y
4142,n,f,b,s,v
4143,n,f,b,s,v
4144,f,f,b,f,v
4145,f,f,b,k,y
4146,f,f,b,k,v
4147,f,f,b,k,v
4148,f,f,b,k,v
4149,f,f,b,k,v
4150,f,f,b,k,v
4151,n,f,b,s,y
4152,f,f,b,k,v
4153,f,f,b,k,v
4154,f,f,b,k,y
4155,n,f,b,s,v
4156,n,f,b,s,v
4157,n,f,b,s,y
4158,f,f,b,k,v
4159,f,f,b,k,y
4160,n,f,b,s,y
4161,f,f,b,k,y
4162,n,f,b,s,v
4163,f,f,b,k,v
4164,f,f,b,k,v
4165,f,f,b,k,v
4166,n,f,n,f,v
4167,f,f,b,k,v
4168,f,f,b,k,y
4169,f,f,b,k,v
4170,f,f,b,k,y
4171,f,f,b,f,s
4172,f,f,b,k,v
4173,f,f,b,k,v
4174,f,f,b,k,y
4175,f,f,b,k,v
4176,f,f,b,k,y
4177,n,f,b,s,y
4178,f,f,b,k,y
4179,f,f,b,k,y
4180,n,f,b,s,y
4181,f,f,b,k,v
4182,f,f,b,k,y
4183,f,f,b,k,y
4184,n,f,b,s,y
4185,f,f,b,k,v
4186,f,f,b,k,y
4187,n,f,b,s,y
4188,n,f,b,s,v
4189,f,f,b,k,v
4190,f,f,b,k,v
4191,f,f,b,k,v
4192,f,f,b,k,v
4193,f,f,b,k,y
4194,f,f,b,k,y
4195,f,f,b,f,s
4196,n,f,b,s,y
4197,y,f,n,k,v
4198,n,f,b,s,v
4199,c,f,n,s,v
4200,c,f,n,s,v
4201,y,f,n,s,v
4202,f,f,b,k,y
4203,f,f,b,k,v
4204,f,f,b,s,s
4205,f,f,b,k,y
4206,f,f,b,k,y
4207,f,f,b,k,y
4208,f,f,b,k,y
4209,f,f,b,k,y
4210,f,f,b,k,y
4211,f,f,b,k,y
4212,f,f,b,k,y
4213,f,f,b,k,v
4214,f,f,b,k,v
4215,f,f,b,k,y
4216,f,f,b,k,v
4217,f,f,b,s,v
4218,f,f,b,k,y
4219,f,f,b,k,y
4220,f,f,b,k,y
4221,f,f,b,k,y
4222,f,f,b,k,v
4223,f,f,b,k,v
4224,f,f,b,k,y
4225,n,f,b,s,v
4226,f,f,b,k,v
4227,f,f,b,k,y
4228,f,f,b,k,v
4229,f,f,b,k,v
4230,f,f,b,k,v
4231,f,f,b,k,y
4232,f,f,b,k,y
4233,f,f,b,f,s
4234,f,f,b,k,v
4235,f,f,b,k,v
4236,f,f,b,k,y
4237,f,f,b,k,y
4238,f,f,b,k,v
4239,f,f,b,k,v
4240,f,f,b,k,y
4241,f,f,b,k,y
4242,f,f,b,k,v
4243,f,f,b,k,y
4244,f,f,b,k,v
4245,f,f,b,k,v
4246,f,f,b,f,s
4247,f,f,b,k,y
4248,f,f,b,f,s
4249,f,f,b,k,v
4250,f,f,b,k,v
4251,f,f,b,k,y
4252,f,f,b,k,y
4253,f,f,b,k,v
4254,n,f,b,s,y
4255,f,f,b,k,y
4256,f,f,b,k,y
4257,f,f,b,k,v
4258,f,f,b,k,v
4259,f,f,b,k,y
4260,f,f,b,k,v
4261,f,f,b,k,y
4262,f,f,b,k,y
4263,c,f,n,s,s
4264,f,f,b,k,y
4265,f,f,b,k,y
4266,f,f,b,k,y
4267,f,f,b,k,v
4268,f,f,b,k,v
4269,f,f,b,k,v
4270,f,f,b,k,y
4271,f,f,b,k,v
4272,f,f,b,k,y
4273,f,f,b,k,v
4274,f,f,b,k,y
4275,f,f,b,k,v
4276,f,f,b,k,y
4277,n,f,n,f,v
4278,f,f,b,k,y
4279,f,f,b,k,y
4280,f,f,b,k,y
4281,f,f,b,k,v
4282,f,f,b,k,y
4283,f,f,b,k,v
4284,n,f,b,s,c
4285,f,f,b,k,v
4286,f,f,b,k,y
4287,f,f,b,k,y
4288,f,f,b,k,y
4289,f,f,b,k,v
4290,f,f,b,k,y
4291,f,f,b,k,v
4292,n,f,b,s,c
4293,f,f,b,k,v
4294,f,f,b,k,v
4295,f,f,b,k,y
4296,f,f,b,k,v
4297,f,f,b,k,y
4298,f,f,b,k,y
4299,f,f,b,k,y
4300,f,f,b,k,y
4301,f,f,b,k,y
4302,f,f,b,k,v
4303,f,f,b,k,v
4304,f,f,b,k,y
4305,f,f,b,k,y
4306,n,f,b,s,y
4307,f,f,b,k,y
4308,f,f,b,k,v
4309,f,f,b,k,v
4310,f,f,b,k,v
4311,f,f,b,k,y
4312,f,f,b,k,y
4313,f,f,b,k,y
4314,f,f,b,k,v
4315,f,f,b,k,y
4316,f,f,b,k,v
4317,f,f,b,k,v
4318,f,f,b,k,v
4319,f,f,b,k,y
4320,f,f,b,k,y
4321,f,f,b,k,v
4322,f,f,b,k,y
4323,f,f,b,k,y
4324,f,f,b,k,y
4325,f,f,b,k,y
4326,f,f,b,k,v
4327,n,f,n,s,v
4328,f,f,b,k,y
4329,f,f,b,k,y
4330,s,f,n,k,v
4331,f,f,b,k,v
4332,n,f,n,k,v
4333,f,f,b,k,y
4334,f,f,b,k,v
4335,f,f,b,k,y
4336,f,f,b,k,y
4337,f,f,b,k,v
4338,f,f,b,k,v
4339,f,f,b,k,v
4340,f,f,b,k,y
4341,f,f,b,k,y
4342,n,f,b,s,y
4343,f,f,b,k,y
4344,f,f,b,k,v
4345,f,f,b,k,v
4346,f,f,b,k,v
4347,f,f,b,k,y
4348,f,f,b,k,v
4349,f,f,b,k,y
4350,f,f,b,s,s
4351,f,f,b,k,v
4352,f,f,b,k,v
4353,f,f,b,k,v
4354,f,f,b,k,y
4355,f,f,b,k,v
4356,f,f,b,k,y
4357,f,f,b,k,v
4358,n,f,b,s,c
4359,f,f,b,k,v
4360,f,f,b,k,y
4361,f,f,b,k,y
4362,f,f,b,k,y
4363,f,f,b,k,v
4364,f,f,b,k,y
4365,n,f,n,s,c
4366,f,f,b,s,v
4367,f,f,b,k,y
4368,f,f,b,k,y
4369,f,f,b,k,v
4370,f,f,b,k,v
4371,f,f,b,k,y
